refresh_id,facility,month,scheduled_at,completed_at,status
R-No-2025-01,North Valley,2025-01,2025-01-15 06:00,2025-01-15 06:75,Success
R-No-2025-02,North Valley,2025-02,2025-02-15 06:00,2025-02-15 06:18,Success
R-No-2025-03,North Valley,2025-03,2025-03-15 06:00,2025-03-15 06:75,Failed
R-No-2025-04,North Valley,2025-04,2025-04-15 06:00,2025-04-15 06:23,Success
R-No-2025-05,North Valley,2025-05,2025-05-15 06:00,2025-05-15 06:54,Late
R-No-2025-06,North Valley,2025-06,2025-06-15 06:00,2025-06-15 06:75,Success
R-No-2025-07,North Valley,2025-07,2025-07-15 06:00,2025-07-15 06:31,Success
R-No-2025-08,North Valley,2025-08,2025-08-15 06:00,2025-08-15 06:18,Success
R-No-2025-09,North Valley,2025-09,2025-09-15 06:00,2025-09-15 06:23,Success
R-No-2025-10,North Valley,2025-10,2025-10-15 06:00,2025-10-15 06:75,Success
R-No-2025-11,North Valley,2025-11,2025-11-15 06:00,2025-11-15 06:31,Success
R-No-2025-12,North Valley,2025-12,2025-12-15 06:00,2025-12-15 06:23,Success
R-Ca-2025-01,Canyon View,2025-01,2025-01-15 06:00,2025-01-15 06:18,Success
R-Ca-2025-02,Canyon View,2025-02,2025-02-15 06:00,2025-02-15 06:54,Success
R-Ca-2025-03,Canyon View,2025-03,2025-03-15 06:00,2025-03-15 06:75,Late
R-Ca-2025-04,Canyon View,2025-04,2025-04-15 06:00,2025-04-15 06:75,Failed
R-Ca-2025-05,Canyon View,2025-05,2025-05-15 06:00,2025-05-15 06:54,Success
R-Ca-2025-06,Canyon View,2025-06,2025-06-15 06:00,2025-06-15 06:18,Success
R-Ca-2025-07,Canyon View,2025-07,2025-07-15 06:00,2025-07-15 06:75,Success
R-Ca-2025-08,Canyon View,2025-08,2025-08-15 06:00,2025-08-15 06:23,Success
R-Ca-2025-09,Canyon View,2025-09,2025-09-15 06:00,2025-09-15 06:54,Failed
R-Ca-2025-10,Canyon View,2025-10,2025-10-15 06:00,2025-10-15 06:54,Success
R-Ca-2025-11,Canyon View,2025-11,2025-11-15 06:00,2025-11-15 06:18,Success
